condition,batch,population,pid,round,puzzle,ai,transfer,form,variant,consented_at,pretask_at,prompt_rule,prompt_mean_score,prompt_passed,carryover,reached_demographics,effort_median,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p200,R2,b220260706,False,True,,,2026-08-18T22:15:09.845071+00:00,,mean,1.667,True,False,True,,1,34.0,postgrad,about_monthly,False,3,0,manual,2,0,2,0,0,0,False,30,15.0,3,True,23,41,-18.0,False,g1! g2!,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,44.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p200,R3,bg20260726,False,True,,,2026-08-18T22:15:09.845071+00:00,,mean,1.667,True,False,True,,1,34.0,postgrad,about_monthly,False,3,0,manual,3,2,3,2,1,1,True,14,4.7,11,True,27,37,-10.0,False,b2 g7! h7,1,False,2,2.0,5.0,0.4,0.0,0.0,1.0,44.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p225,R1,oc20260727,True,False,,,2026-08-19T11:35:32.197748+00:00,,mean,2.0,True,False,True,,2,44.0,postgrad,few_times_month,False,1,7,manual,6,6,3,3,6,3,True,0,0.0,182,True,41,23,18.0,True,b7 c8 a7 a3 a1 h1,1,True,2,1.0,4.0,0.25,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p225,R2,b220260706,False,True,,,2026-08-19T11:35:32.197748+00:00,,mean,2.0,True,False,True,,2,44.0,postgrad,few_times_month,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,3,True,30,34,-4.0,False,g2! g7,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p225,R3,bg20260726,False,True,,,2026-08-19T11:35:32.197748+00:00,,mean,2.0,True,False,True,,2,44.0,postgrad,few_times_month,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,2,True,22,42,-20.0,False,g7! g8!,1,False,2,1.0,4.0,0.25,0.0,0.0,0.0,40.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p239,R1,oc20260727,True,False,,,,,carried over from phase 1,,True,True,False,,5,,,,False,2,5,manual,5,3,3,2,4,3,True,26,5.2,43,True,28,36,-8.0,False,b7 a7! b6 c8 g2!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p239,R2,b220260706,False,True,,,,,carried over from phase 1,,True,True,False,,5,,,,False,2,0,manual,2,0,2,0,0,0,False,30,15.0,3,True,23,41,-18.0,False,g1! g2!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p239,R3,bg20260726,False,True,,,,,carried over from phase 1,,True,True,False,,5,,,,False,2,0,manual,2,0,2,0,0,0,False,24,12.0,2,True,22,42,-20.0,False,g7! g8!,1,False,2,0.0,4.0,0.0,0.0,0.0,0.0,54.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p343,R1,oc20260727,True,False,,,2026-08-18T19:00:22.560704+00:00,,mean,1.0,True,False,True,,dont_know,70.0,less_than_hs,less_than_monthly,False,2,5,manual,4,2,3,2,1,1,True,36,9.0,35,True,23,41,-18.0,False,b7 g2! c8 b6!,1,False,2,3.0,6.0,0.5,0.0,0.0,2.0,36.0,Strugglers
vanilla_non_adopters,vanilla_non_adopters,non-adopters,p343,R2,b220260706,False,True,,,2026-08-18T19:00:22.560704+00:00,,mean,1.0,True,False,True,,dont_know,70.0,less_than_hs,less_than_monthly,False,2,0,manual,3,2,3,2,2,2,True,14,4.7,9,True,31,33,-2.0,False,g7 h1 h2!,1,False,2,3.0,6.0,0.5,0.0,0.0,2.0,36.0,Strugglers
