pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p411,R3,bg20260726,False,True,dont_know,25,less_than_hs,about_monthly,False,2,0,manual,2,0,2,0,0,0,False,22,11.0,5,True,23,41,-18,False,g7! h7!,1,False,2,1,4,0.25,0,0,0,36,Strugglers
p483,R1,oc20260727,True,False,1,39,hs_graduate,few_times_month,True,1,0,manual,4,2,3,1,1,1,True,38,9.5,43,True,22,42,-20,False,b7 g2! b6! b8,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p483,R2,b220260706,False,True,1,39,hs_graduate,few_times_month,True,1,0,manual,2,1,2,1,0,0,False,16,8.0,5,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p483,R3,bg20260726,False,True,1,39,hs_graduate,few_times_month,True,1,0,manual,2,1,2,1,0,0,False,8,4.0,8,True,30,34,-4,False,g8! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p504,R1,oc20260727,True,False,1,78,postgrad,about_monthly,False,1,0,manual,3,1,3,1,0,0,False,42,14.0,8,True,20,44,-24,False,c8! a7 b6!,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p504,R2,b220260706,False,True,1,78,postgrad,about_monthly,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,4,True,26,38,-12,False,g2! h2!,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p504,R3,bg20260726,False,True,1,78,postgrad,about_monthly,False,1,0,manual,2,0,2,0,0,0,False,26,13.0,3,True,21,43,-22,False,h7! g7!,1,False,2,0,4,0.0,0,0,0,50,Strugglers
p677,R1,oc20260727,True,False,2,,,,True,5,0,,1,1,1,1,1,1,True,0,0.0,0,False,24,32,,,b7,1,False,0,,,,,,,,
p35,R1,oc20260727,True,False,dont_know,31,bachelors,few_times_week,False,3,0,manual,4,1,3,0,0,0,False,42,10.5,15,True,20,44,-24,False,b6! b7! c8! a7,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p35,R2,b220260706,False,True,dont_know,31,bachelors,few_times_week,False,3,0,manual,2,0,2,0,0,0,False,30,15.0,2,True,23,41,-18,False,g1! g2!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p35,R3,bg20260726,False,True,dont_know,31,bachelors,few_times_week,False,3,0,manual,2,0,2,0,0,0,False,24,12.0,2,True,22,42,-20,False,g7! g8!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p48,R1,oc20260727,True,False,1,49,hs_graduate,few_times_week,False,3,0,manual,3,1,3,1,0,0,False,36,12.0,20,True,23,41,-18,False,g2! b7 c8!,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p48,R2,b220260706,False,True,1,49,hs_graduate,few_times_week,False,3,0,manual,2,1,2,1,0,0,False,16,8.0,11,True,30,34,-4,False,g2! g7,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p48,R3,bg20260726,False,True,1,49,hs_graduate,few_times_week,False,3,0,manual,2,0,2,0,0,0,False,22,11.0,5,True,23,41,-18,False,g7! h7!,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p766,R1,oc20260727,True,False,2,61,bachelors,few_times_month,False,2,0,manual,3,0,3,0,0,0,False,58,19.3,9,True,12,52,-40,False,b8! a7! c8!,1,False,2,3,5,0.6,0,0,2,26,Solvers
p766,R2,b220260706,False,True,2,61,bachelors,few_times_month,False,2,0,manual,2,1,2,1,1,1,True,12,6.0,6,True,32,32,0,False,g7 g2!,1,False,2,3,5,0.6,0,0,2,26,Solvers
p766,R3,bg20260726,False,True,2,61,bachelors,few_times_month,False,2,0,manual,3,2,3,2,1,1,True,14,4.7,8,True,27,37,-10,False,b2 g7! h7,1,False,2,3,5,0.6,0,0,2,26,Solvers
p313,R1,oc20260727,True,False,1,55,some_college,less_than_monthly,False,5,0,manual,4,0,3,0,0,0,False,46,11.5,17,True,18,46,-28,False,b6! b7! c8! g2!,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p313,R2,b220260706,False,True,1,55,some_college,less_than_monthly,False,5,0,manual,2,1,2,1,0,0,False,16,8.0,5,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p313,R3,bg20260726,False,True,1,55,some_college,less_than_monthly,False,5,0,manual,2,1,2,1,0,0,False,16,8.0,4,True,26,38,-12,False,g7! b2,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p133,R1,oc20260727,True,False,3,34,hs_graduate,less_than_monthly,False,3,0,manual,5,3,3,1,1,1,True,24,4.8,33,True,29,35,-6,False,b7 g2! a7! b6 c8,1,False,2,1,4,0.25,0,0,0,42,Strugglers
p133,R2,b220260706,False,True,3,34,hs_graduate,less_than_monthly,False,3,0,manual,2,1,2,1,0,0,False,16,8.0,32,True,30,34,-4,False,g2! g7,1,False,2,1,4,0.25,0,0,0,42,Strugglers
p133,R3,bg20260726,False,True,3,34,hs_graduate,less_than_monthly,False,3,0,manual,2,0,2,0,0,0,False,26,13.0,4,True,21,43,-22,False,h7! g7!,1,False,2,1,4,0.25,0,0,0,42,Strugglers
p330,R1,oc20260727,True,False,3,57,hs_incomplete,daily,False,1,0,manual,5,3,3,2,0,0,False,40,8.0,53,True,21,43,-22,False,g2! b6 b7 c8 a7!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p330,R2,b220260706,False,True,3,57,hs_incomplete,daily,False,1,0,manual,2,0,2,0,0,0,False,30,15.0,5,True,23,41,-18,False,g1! g2!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p330,R3,bg20260726,False,True,3,57,hs_incomplete,daily,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,4,True,22,42,-20,False,g7! g8!,1,False,2,0,4,0.0,0,0,0,54,Strugglers
p29,R1,oc20260727,True,False,1,34,bachelors,few_times_week,False,2,0,manual,3,1,3,1,0,0,False,44,14.7,7,True,19,45,-26,False,b6! b8! c8,1,False,2,4,5,0.8,1,1,1,16,Solvers
p29,R2,b220260706,False,True,1,34,bachelors,few_times_week,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,2,True,30,34,-4,False,g2! g7,1,False,2,4,5,0.8,1,1,1,16,Solvers
p29,R3,bg20260726,False,True,1,34,bachelors,few_times_week,False,2,0,manual,3,3,3,3,3,3,True,0,0.0,3,True,34,30,4,True,b2 g8 h7,1,True,2,4,5,0.8,1,1,1,16,Solvers
p714,R1,oc20260727,True,False,3,66,bachelors,few_times_month,False,2,0,manual,3,1,3,1,0,0,False,36,12.0,14,True,23,41,-18,False,g2! b7 c8!,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p714,R2,b220260706,False,True,3,66,bachelors,few_times_month,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,9,True,30,34,-4,False,g2! g7,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p714,R3,bg20260726,False,True,3,66,bachelors,few_times_month,False,2,0,manual,2,0,2,0,0,0,False,22,11.0,6,True,23,41,-18,False,g7! h7!,1,False,2,1,4,0.25,0,0,0,38,Strugglers
p432,R1,oc20260727,True,False,3,46,some_postgrad,less_than_monthly,False,1,0,manual,4,1,3,0,0,0,False,44,11.0,9,True,19,45,-26,False,b6! b7! g2! b8,1,False,2,0,4,0.0,0,0,0,48,Strugglers
p432,R2,b220260706,False,True,3,46,some_postgrad,less_than_monthly,False,1,0,manual,2,0,2,0,0,0,False,24,12.0,2,True,26,38,-12,False,g2! h2!,1,False,2,0,4,0.0,0,0,0,48,Strugglers
