pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p424,R3,bg20260726,False,True,1,40,bachelors,daily,True,1,0,manual,2,0,2,0,0,0,False,26,13.0,10,True,21,43,-22,False,h7! g7!,1,False,2,1,4,0.25,0,0,0,42,Strugglers
p98,R1,oc20260727,True,False,dont_know,38,bachelors,few_times_week,False,1,0,manual,4,2,3,2,0,0,False,40,10.0,28,True,21,43,-22,False,g2! b7 b6 a7!,1,False,2,2,5,0.4,0,0,2,34,Strugglers
p98,R2,b220260706,False,True,dont_know,38,bachelors,few_times_week,False,1,0,manual,2,1,2,1,1,1,True,12,6.0,7,True,32,32,0,False,g7 g2!,1,False,2,2,5,0.4,0,0,2,34,Strugglers
p98,R3,bg20260726,False,True,dont_know,38,bachelors,few_times_week,False,1,0,manual,3,1,3,1,1,1,True,22,7.3,8,True,23,41,-18,False,b2 g7! h8!,1,False,2,2,5,0.4,0,0,2,34,Strugglers
p90,R1,oc20260727,True,False,1,36,bachelors,several_times_day,True,2,0,manual,4,2,3,1,1,1,True,38,9.5,21,True,22,42,-20,False,b7 g2! b6! b8,1,False,2,2,5,0.4,0,0,1,28,Strugglers
p90,R2,b220260706,False,True,1,36,bachelors,several_times_day,True,2,0,manual,3,2,3,2,2,2,True,14,4.7,18,True,31,33,-2,False,g7 h1 h2!,1,False,2,2,5,0.4,0,0,1,28,Strugglers
p90,R3,bg20260726,False,True,1,36,bachelors,several_times_day,True,2,0,manual,2,0,2,0,0,0,False,14,7.0,4,True,27,37,-10,False,g8! h7!,1,False,2,2,5,0.4,0,0,1,28,Strugglers
p621,R1,oc20260727,True,False,1,47,postgrad,few_times_month,True,3,0,manual,4,2,3,1,1,1,True,38,9.5,46,True,22,42,-20,False,b7 g2! b6! b8,1,False,2,1,5,0.2,0,0,0,50,Strugglers
p621,R2,b220260706,False,True,1,47,postgrad,few_times_month,True,3,0,manual,2,0,2,0,0,0,False,24,12.0,19,True,26,38,-12,False,g2! h2!,1,False,2,1,5,0.2,0,0,0,50,Strugglers
p621,R3,bg20260726,False,True,1,47,postgrad,few_times_month,True,3,0,manual,3,1,3,1,0,0,False,26,8.7,20,True,21,43,-22,False,h7! b2 g7!,1,False,2,1,5,0.2,0,0,0,50,Strugglers
