    (HTTP 429: waiting 2s, attempt 1)
    (HTTP 429: waiting 2s, attempt 1)
    (HTTP 429: waiting 2s, attempt 1)
    (HTTP 429: waiting 4s, attempt 2)
    (HTTP 429: waiting 8s, attempt 3)
    (HTTP 429: waiting 2s, attempt 1)
    (HTTP 429: waiting 4s, attempt 2)
    (HTTP 429: waiting 2s, attempt 1)
    (HTTP 429: waiting 4s, attempt 2)
    (HTTP 429: waiting 8s, attempt 3)
    (HTTP 429: waiting 16s, attempt 4)
