pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p154,R1,oc20260727,True,False,dont_know,67,bachelors,less_than_monthly,False,2,5,manual,3,1,3,1,0,0,False,36,12.0,142,True,23,41,-18,False,g2! b7 c8!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p154,R2,b220260706,False,True,dont_know,67,bachelors,less_than_monthly,False,2,0,manual,2,1,2,1,0,0,False,16,8.0,6,True,30,34,-4,False,g2! g7,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p154,R3,bg20260726,False,True,dont_know,67,bachelors,less_than_monthly,False,2,0,manual,3,1,3,1,1,1,True,22,7.3,21,True,23,41,-18,False,b2 g7! h8!,1,False,2,2,5,0.4,0,0,1,38,Strugglers
p666,R1,oc20260727,True,False,1,52,postgrad,less_than_monthly,False,1,5,manual,3,2,3,2,1,1,True,38,12.7,138,True,22,42,-20,False,b7 b6! b8,1,False,2,6,6,1.0,2,2,2,0,Solvers
p666,R2,b220260706,False,True,1,52,postgrad,less_than_monthly,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,23,True,38,26,12,True,g7 h1 g2,1,True,2,6,6,1.0,2,2,2,0,Solvers
p666,R3,bg20260726,False,True,1,52,postgrad,less_than_monthly,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,21,True,34,30,4,True,b2 g8 h7,1,True,2,6,6,1.0,2,2,2,0,Solvers
p583,R1,oc20260727,True,False,2,,,,True,5,0,,1,1,1,1,1,1,True,0,0.0,0,False,24,32,,,b7,1,False,0,,,,,,,,
p811,R1,oc20260727,True,False,1,35,bachelors,few_times_month,False,1,5,manual,6,6,3,3,6,3,True,0,0.0,124,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,3,5,0.6,1,1,1,26,Solvers
p811,R2,b220260706,False,True,1,35,bachelors,few_times_month,False,1,0,manual,3,3,3,3,3,3,True,0,0.0,12,True,38,26,12,True,g7 h1 g2,1,True,2,3,5,0.6,1,1,1,26,Solvers
p811,R3,bg20260726,False,True,1,35,bachelors,few_times_month,False,1,0,manual,2,0,2,0,0,0,False,26,13.0,23,True,21,43,-22,False,h7! g7!,1,False,2,3,5,0.6,1,1,1,26,Solvers
p441,R1,oc20260727,True,False,3,55,some_college,few_times_month,False,2,5,manual,4,2,3,1,1,1,True,38,9.5,42,True,22,42,-20,False,b7 g2! b6! b8,1,False,2,3,5,0.6,1,1,1,22,Solvers
p441,R2,b220260706,False,True,3,55,some_college,few_times_month,False,2,0,manual,3,3,3,3,3,3,True,0,0.0,10,True,38,26,12,True,g7 h1 g2,1,True,2,3,5,0.6,1,1,1,22,Solvers
p441,R3,bg20260726,False,True,3,55,some_college,few_times_month,False,2,0,manual,2,0,2,0,0,0,False,22,11.0,5,True,23,41,-18,False,g7! h7!,1,False,2,3,5,0.6,1,1,1,22,Solvers
p164,R1,oc20260727,True,False,3,,,,True,3,5,manual,4,2,3,2,2,2,True,28,7.0,139,True,27,37,-10,False,b7 c8 g2! b6!,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p164,R2,b220260706,False,True,3,,,,True,3,0,manual,2,1,2,1,0,0,False,16,8.0,6,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p164,R3,bg20260726,False,True,3,,,,True,3,0,manual,2,1,2,1,0,0,False,16,8.0,4,True,26,38,-12,False,g7! b2,1,False,2,2,4,0.5,0,0,0,32,Strugglers
p80,R1,oc20260727,True,False,1,33,associate,several_times_day,False,1,6,manual,6,6,3,3,6,3,True,0,0.0,42,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,2,4,0.5,0,0,1,28,Strugglers
p80,R2,b220260706,False,True,1,33,associate,several_times_day,False,1,0,manual,2,1,2,1,1,1,True,12,6.0,1,True,32,32,0,False,g7 g2!,1,False,2,2,4,0.5,0,0,1,28,Strugglers
p80,R3,bg20260726,False,True,1,33,associate,several_times_day,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,1,True,26,38,-12,False,g7! b2,1,False,2,2,4,0.5,0,0,1,28,Strugglers
p299,R1,oc20260727,True,False,2,,,,True,4,0,,1,1,1,1,1,1,True,0,0.0,0,False,24,32,,,b7,1,False,0,,,,,,,,
p744,R1,oc20260727,True,False,2,44,bachelors,daily,False,2,5,manual,6,6,3,3,6,3,True,0,0.0,209,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,1,4,0.25,0,0,1,26,Strugglers
p744,R2,b220260706,False,True,2,44,bachelors,daily,False,2,0,manual,2,1,2,1,1,1,True,12,6.0,11,True,32,32,0,False,g7 g2!,1,False,2,1,4,0.25,0,0,1,26,Strugglers
p744,R3,bg20260726,False,True,2,44,bachelors,daily,False,2,0,manual,2,0,2,0,0,0,False,14,7.0,13,True,27,37,-10,False,g8! h7!,1,False,2,1,4,0.25,0,0,1,26,Strugglers
p197,R1,oc20260727,True,False,2,23,bachelors,weekly,False,3,5,manual,5,4,3,2,0,0,False,32,6.4,50,True,25,39,-14,False,b6! g2 b7 c8 a8,1,False,2,1,4,0.25,0,0,0,32,Strugglers
