pid,round,puzzle,ai,transfer,skill_rating,age,education,genai_usage,gate_correct,gate_confidence,ai_turns,end_reason,decisions,score,decisions_first_n,score_first_n,kept_win_score,kept_win_first_n,opener_optimal,disc_loss_total,disc_loss_per_decision,seconds,completed,black_discs,white_discs,margin,won,moves,attempts,solved,transfer_rounds,transfer_score,transfer_decisions,transfer_rate,transfer_wins,transfer_solved,transfer_openers,transfer_disc_loss,transfer_label
p70,R1,oc20260727,True,False,1,73,some_college,less_than_monthly,True,3,5,manual,6,6,3,3,6,3,True,0,0.0,371,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,0,4,0.0,0,0,0,48,Strugglers
p70,R2,b220260706,False,True,1,73,some_college,less_than_monthly,True,3,0,manual,2,0,2,0,0,0,False,24,12.0,22,True,26,38,-12,False,g2! h2!,1,False,2,0,4,0.0,0,0,0,48,Strugglers
p70,R3,bg20260726,False,True,1,73,some_college,less_than_monthly,True,3,0,manual,2,0,2,0,0,0,False,24,12.0,13,True,22,42,-20,False,g7! g8!,1,False,2,0,4,0.0,0,0,0,48,Strugglers
p416,R1,oc20260727,True,False,1,55,hs_graduate,about_monthly,False,3,6,manual,3,2,3,2,2,2,True,38,12.7,239,True,22,42,-20,False,b7 c8 b6!,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p416,R2,b220260706,False,True,1,55,hs_graduate,about_monthly,False,3,0,manual,2,1,2,1,0,0,False,16,8.0,14,True,30,34,-4,False,g2! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p416,R3,bg20260726,False,True,1,55,hs_graduate,about_monthly,False,3,0,manual,2,1,2,1,0,0,False,8,4.0,14,True,30,34,-4,False,g8! g7,1,False,2,2,4,0.5,0,0,0,24,Strugglers
p415,R1,oc20260727,True,False,dont_know,29,bachelors,never,False,1,5,manual,5,4,3,3,5,3,True,16,3.2,131,True,33,31,2,True,b7 c8 a7 a3 g2!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p415,R2,b220260706,False,True,dont_know,29,bachelors,never,False,1,0,manual,2,0,2,0,0,0,False,30,15.0,4,True,23,41,-18,False,g1! g2!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p415,R3,bg20260726,False,True,dont_know,29,bachelors,never,False,1,0,manual,2,0,2,0,0,0,False,14,7.0,5,True,27,37,-10,False,g8! h7!,1,False,2,0,4,0.0,0,0,0,44,Strugglers
p741,R1,oc20260727,True,False,dont_know,36,associate,daily,True,1,5,manual,4,3,3,3,3,3,True,36,9.0,230,True,23,41,-18,False,b7 c8 a7 g2!,1,False,2,2,5,0.4,0,0,2,30,Strugglers
p741,R2,b220260706,False,True,dont_know,36,associate,daily,True,1,0,manual,2,1,2,1,1,1,True,14,7.0,7,True,31,33,-2,False,g7 h2!,1,False,2,2,5,0.4,0,0,2,30,Strugglers
p741,R3,bg20260726,False,True,dont_know,36,associate,daily,True,1,0,manual,3,1,3,1,1,1,True,16,5.3,25,True,26,38,-12,False,b2 h7! g7!,1,False,2,2,5,0.4,0,0,2,30,Strugglers
p303,R1,oc20260727,True,False,dont_know,36,hs_graduate,few_times_month,False,1,6,manual,6,6,3,3,6,3,True,0,0.0,203,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,2,4,0.5,0,0,1,28,Strugglers
p303,R2,b220260706,False,True,dont_know,36,hs_graduate,few_times_month,False,1,0,manual,2,1,2,1,1,1,True,12,6.0,4,True,32,32,0,False,g7 g2!,1,False,2,2,4,0.5,0,0,1,28,Strugglers
p303,R3,bg20260726,False,True,dont_know,36,hs_graduate,few_times_month,False,1,0,manual,2,1,2,1,0,0,False,16,8.0,2,True,26,38,-12,False,g7! b2,1,False,2,2,4,0.5,0,0,1,28,Strugglers
p704,R1,oc20260727,True,False,1,36,some_college,few_times_month,False,2,5,manual,3,1,3,1,0,0,False,36,12.0,103,True,23,41,-18,False,g2! b7 c8!,1,False,2,5,6,0.833,1,1,2,10,Solvers
p704,R2,b220260706,False,True,1,36,some_college,few_times_month,False,2,0,manual,3,3,3,3,3,3,True,0,0.0,16,True,38,26,12,True,g7 h1 g2,1,True,2,5,6,0.833,1,1,2,10,Solvers
p704,R3,bg20260726,False,True,1,36,some_college,few_times_month,False,2,0,manual,3,2,3,2,1,1,True,10,3.3,66,True,29,35,-6,False,b2 h7! g8,1,False,2,5,6,0.833,1,1,2,10,Solvers
p298,R1,oc20260727,True,False,1,34,hs_graduate,less_than_monthly,False,1,5,manual,6,6,3,3,6,3,True,0,0.0,246,True,41,23,18,True,b7 c8 a7 a3 a1 h1,1,True,2,1,4,0.25,0,0,1,34,Strugglers
p298,R2,b220260706,False,True,1,34,hs_graduate,less_than_monthly,False,1,0,manual,2,1,2,1,1,1,True,12,6.0,10,True,32,32,0,False,g7 g2!,1,False,2,1,4,0.25,0,0,1,34,Strugglers
